,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Spread,home_odds,away_odds,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3
0,1,Fri,2022-08-05,20:30:00,Eint Frankfurt,,,,Bayern Munich,,Commerzbank-Arena,,Head-to-Head,1.25,1.91,1.91,1.25,,,
1,1,Sat,2022-08-06,15:30:00,Wolfsburg,,,,Werder Bremen,,Volkswagen Arena,,Head-to-Head,-0.5,1.943,1.98,-0.5,,,
2,1,Sat,2022-08-06,15:30:00,Augsburg,,,,Freiburg,,WWK Arena,,Head-to-Head,0.25,2.06,1.869,0.25,,,
3,1,Sat,2022-08-06,15:30:00,Union Berlin,,,,Hertha BSC,,Stadion An der Alten FÃ¶rsterei,,Head-to-Head,-0.75,2.11,1.833,-0.75,,,
4,1,Sat,2022-08-06,15:30:00,M'Gladbach,,,,Hoffenheim,,Stadion im Borussia-Park,,Head-to-Head,-0.25,1.943,1.98,-0.25,,,
5,1,Sat,2022-08-06,15:30:00,Bochum,,,,Mainz 05,,Vonovia Ruhrstadion,,Head-to-Head,0.25,1.943,1.98,0.25,,,
6,1,Sat,2022-08-06,18:30:00,Dortmund,,,,Leverkusen,,Signal Iduna Park,,Head-to-Head,-0.5,2.05,1.877,-0.25,,,
7,1,Sun,2022-08-07,15:30:00,Stuttgart,,,,RB Leipzig,,Mercedes-Benz Arena,,Head-to-Head,0.75,1.91,2.02,0.75,,,
8,1,Sun,2022-08-07,17:30:00,Köln,,,,Schalke 04,,RheinEnergieSTADION,,Head-to-Head,-0.75,2.08,1.85,-0.75,,,
9,2,Fri,2022-08-12,20:30:00,Freiburg,,,,Dortmund,,Europa-Park Stadion,,Head-to-Head,0.25,1.92,1.98,0.25,0.25,0.25,
10,2,Sat,2022-08-13,15:30:00,Hoffenheim,,,,Bochum,,PreZero Arena,,Head-to-Head,-1.0,1.97,1.93,-1.0,-1.0,-1.0,
11,2,Sat,2022-08-13,15:30:00,Werder Bremen,,,,Stuttgart,,Weserstadion,,Head-to-Head,-0.25,2.02,1.88,-0.25,-0.25,-0.25,
12,2,Sat,2022-08-13,15:30:00,Leverkusen,,,,Augsburg,,BayArena,,Head-to-Head,-1.5,1.95,1.95,-1.5,-1.5,-1.5,
13,2,Sat,2022-08-13,15:30:00,RB Leipzig,,,,Köln,,Red Bull Arena,,Head-to-Head,-1.25,1.95,1.95,-1.0,-1.0,-1.25,
14,2,Sat,2022-08-13,15:30:00,Hertha BSC,,,,Eint Frankfurt,,Olympiastadion Berlin,,Head-to-Head,0.25,1.87,2.03,0.0,0.0,0.25,
15,2,Sat,2022-08-13,18:30:00,Schalke 04,,,,M'Gladbach,,Veltins-Arena,,Head-to-Head,0.25,1.97,1.93,0.25,0.25,0.25,
16,2,Sun,2022-08-14,15:30:00,Mainz 05,,,,Union Berlin,,Opel Arena,,Head-to-Head,-0.25,1.92,1.98,-0.25,-0.25,-0.25,
17,2,Sun,2022-08-14,17:30:00,Bayern Munich,,,,Wolfsburg,,Allianz Arena,,Head-to-Head,-2.5,1.94,1.96,-2.25,-2.25,-2.5,
18,3,Fri,2022-08-19,20:30:00,M'Gladbach,,,,Hertha BSC,,Stadion im Borussia-Park,,Head-to-Head,-1.25,2.01,1.89,-1.0,-1.0,,
19,3,Sat,2022-08-20,15:30:00,Leverkusen,,,,Hoffenheim,,BayArena,,Head-to-Head,-0.75,1.83,2.07,-0.75,-0.75,,
20,3,Sat,2022-08-20,15:30:00,Augsburg,,,,Mainz 05,,WWK Arena,,Head-to-Head,0.25,2.07,1.83,0.25,0.25,,
21,3,Sat,2022-08-20,15:30:00,Stuttgart,,,,Freiburg,,Mercedes-Benz Arena,,Head-to-Head,0.0,1.96,1.94,0.0,0.0,,
22,3,Sat,2022-08-20,15:30:00,Dortmund,,,,Werder Bremen,,Signal Iduna Park,,Head-to-Head,-1.5,2.02,1.88,-1.25,-1.5,,
