,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Fri,2022-08-05,20:30,Eint Frankfurt,1.3,1–6,3.8,Bayern Munich,51500.0,Commerzbank-Arena,Deniz Aytekin,Match Report,
1,1.0,Sat,2022-08-06,15:30,Augsburg,0.5,0–4,1.2,Freiburg,25310.0,WWK Arena,Bastian Dankert,Match Report,
2,1.0,Sat,2022-08-06,15:30,M'Gladbach,1.9,3–1,0.1,Hoffenheim,49659.0,Stadion im Borussia-Park,Daniel Siebert,Match Report,
3,1.0,Sat,2022-08-06,15:30,Bochum,0.7,1–2,1.3,Mainz 05,24110.0,Vonovia Ruhrstadion,Felix Zwayer,Match Report,
4,1.0,Sat,2022-08-06,15:30,Union Berlin,0.9,3–1,0.3,Hertha BSC,22012.0,Stadion An der Alten Försterei,Marco Fritz,Match Report,
5,1.0,Sat,2022-08-06,15:30,Wolfsburg,1.0,2–2,0.7,Werder Bremen,28015.0,Volkswagen Arena,Sascha Stegemann,Match Report,
6,1.0,Sat,2022-08-06,18:30,Dortmund,1.5,1–0,1.2,Leverkusen,81365.0,Signal Iduna Park,Felix Brych,Match Report,
7,1.0,Sun,2022-08-07,15:30,Stuttgart,0.9,1–1,1.9,RB Leipzig,46000.0,Mercedes-Benz Arena,Tobias Stieler,Match Report,
8,1.0,Sun,2022-08-07,17:30,Köln,3.9,3–1,0.4,Schalke 04,50000.0,RheinEnergieSTADION,Robert Schröder,Match Report,
9,,,,,,,,,,,,,,
10,2.0,Fri,2022-08-12,20:30,Freiburg,,,,Dortmund,,Europa-Park Stadion,,Head-to-Head,
11,2.0,Sat,2022-08-13,15:30,Hoffenheim,,,,Bochum,,PreZero Arena,,Head-to-Head,
12,2.0,Sat,2022-08-13,15:30,Werder Bremen,,,,Stuttgart,,Weserstadion,,Head-to-Head,
13,2.0,Sat,2022-08-13,15:30,Leverkusen,,,,Augsburg,,BayArena,,Head-to-Head,
14,2.0,Sat,2022-08-13,15:30,Hertha BSC,,,,Eint Frankfurt,,Olympiastadion Berlin,,Head-to-Head,
15,2.0,Sat,2022-08-13,15:30,RB Leipzig,,,,Köln,,Red Bull Arena,,Head-to-Head,
16,2.0,Sat,2022-08-13,18:30,Schalke 04,,,,M'Gladbach,,Veltins-Arena,,Head-to-Head,
17,2.0,Sun,2022-08-14,15:30,Mainz 05,,,,Union Berlin,,Opel Arena,,Head-to-Head,
18,2.0,Sun,2022-08-14,17:30,Bayern Munich,,,,Wolfsburg,,Allianz Arena,,Head-to-Head,
19,,,,,,,,,,,,,,
20,3.0,Fri,2022-08-19,20:30,M'Gladbach,,,,Hertha BSC,,Stadion im Borussia-Park,,Head-to-Head,
21,3.0,Sat,2022-08-20,15:30,Leverkusen,,,,Hoffenheim,,BayArena,,Head-to-Head,
22,3.0,Sat,2022-08-20,15:30,Stuttgart,,,,Freiburg,,Mercedes-Benz Arena,,Head-to-Head,
23,3.0,Sat,2022-08-20,15:30,Wolfsburg,,,,Schalke 04,,Volkswagen Arena,,Head-to-Head,
24,3.0,Sat,2022-08-20,15:30,Dortmund,,,,Werder Bremen,,Signal Iduna Park,,Head-to-Head,
