,Wk,Day,Date,Home,xG,Score,xG.1,Away,Spread
0,-3,Fri,2021-05-31,Brentford,1.3,2–0,1.5,Arsenal,0.25
1,-3,Sat,2021-05-31,Manchester Utd,1.5,5–1,0.6,Leeds United,-1.0
2,-3,Sat,2021-05-31,Leicester City,0.8,1–0,1.1,Wolves,-0.75
3,-3,Sat,2021-05-31,Burnley,1.0,1–2,1.3,Brighton,0.25
4,-3,Sat,2021-05-31,Watford,1.2,3–2,1.1,Aston Villa,0.25
5,-3,Sat,2021-05-31,Chelsea,0.9,3–0,0.3,Crystal Palace,-1.5
6,-3,Sat,2021-05-31,Everton,2.4,3–1,0.7,Southampton,-0.5
7,-3,Sat,2021-05-31,Norwich City,1.4,0–3,2.0,Liverpool,1.25
8,-3,Sun,2021-05-31,Newcastle Utd,1.4,2–4,2.2,West Ham,0.25
9,-3,Sun,2021-05-31,Tottenham,1.3,1–0,1.9,Manchester City,1.0
10,-2,Sat,2021-05-31,Liverpool,2.9,2–0,0.7,Burnley,-1.75
11,-2,Sat,2021-05-31,Aston Villa,1.1,2–0,0.7,Newcastle Utd,-0.5
12,-2,Sat,2021-05-31,Manchester City,2.7,5–0,0.1,Norwich City,-2.5
13,-2,Sat,2021-05-31,Crystal Palace,0.6,0–0,0.9,Brentford,0.0
14,-2,Sat,2021-05-31,Leeds United,1.5,2–2,2.1,Everton,-0.25
15,-2,Sat,2021-05-31,Brighton,1.5,2–0,0.9,Watford,-0.75
16,-2,Sun,2021-05-31,Southampton,0.8,1–1,1.5,Manchester Utd,1.0
17,-2,Sun,2021-05-31,Wolves,1.4,0–1,1.5,Tottenham,0.0
18,-2,Sun,2021-05-31,Arsenal,0.3,0–2,2.9,Chelsea,0.5
19,-2,Mon,2021-05-31,West Ham,2.5,4–1,0.8,Leicester City,-0.25
20,-1,Sat,2021-05-31,Manchester City,3.8,5–0,0.1,Arsenal,-1.5
21,-1,Sat,2021-05-31,Norwich City,1.6,1–2,1.3,Leicester City,0.5
22,-1,Sat,2021-05-31,West Ham,1.2,2–2,0.7,Crystal Palace,-1.0
23,-1,Sat,2021-05-31,Newcastle Utd,1.4,2–2,3.6,Southampton,0.0
24,-1,Sat,2021-05-31,Aston Villa,0.6,1–1,1.2,Brentford,-0.5
25,-1,Sat,2021-05-31,Brighton,1.0,0–2,1.6,Everton,-0.25
26,-1,Sat,2021-05-31,Liverpool,2.7,1–1,0.8,Chelsea,-0.25
27,-1,Sun,2021-05-31,Tottenham,0.9,1–0,0.6,Watford,-1.0
28,-1,Sun,2021-05-31,Burnley,1.4,1–1,1.5,Leeds United,0.25
29,-1,Sun,2021-05-31,Wolves,1.8,0–1,0.6,Manchester Utd,0.75
30,0,Sat,2021-05-31,Crystal Palace,2.4,3–0,0.1,Tottenham,0.25
31,0,Sat,2021-05-31,Southampton,0.8,0–0,0.6,West Ham,0.25
32,0,Sat,2021-05-31,Arsenal,3.0,1–0,0.6,Norwich City,-1.25
33,0,Sat,2021-05-31,Brentford,0.7,0–1,0.2,Brighton,0.0
34,0,Sat,2021-05-31,Watford,0.2,0–2,2.0,Wolves,0.25
35,0,Sat,2021-05-31,Leicester City,0.8,0–1,2.8,Manchester City,0.75
36,0,Sat,2021-05-31,Manchester Utd,2.2,4–1,0.7,Newcastle Utd,-2.0
37,0,Sat,2021-05-31,Chelsea,1.1,3–0,1.5,Aston Villa,-1.5
38,0,Sun,2021-05-31,Leeds United,1.2,0–3,4.1,Liverpool,0.75
39,0,Mon,2021-05-31,Everton,1.3,3–1,1.3,Burnley,-0.75
