,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,1.0,Sat,2021-08-21,18:30,Inter,1.5,4–0,1.0,Genoa,27402.0,Stadio Giuseppe Meazza,Valerio Marini,Match Report,
1,1.0,Sat,2021-08-21,18:30,Hellas Verona,2.1,2–3,1.4,Sassuolo,5448.0,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
2,1.0,Sat,2021-08-21,20:45,Torino,1.3,1–2,1.0,Atalanta,3475.0,Stadio Olimpico di Torino,Daniele Chiffi,Match Report,
3,1.0,Sat,2021-08-21,20:45,Empoli,1.3,1–3,1.3,Lazio,3655.0,Stadio Carlo Castellani,Simone Sozza,Match Report,
4,1.0,Sun,2021-08-22,18:30,Bologna,1.5,3–2,1.6,Salernitana,8375.0,Stadio Renato Dall'Ara,Antonio Rapuano,Match Report,
5,1.0,Sun,2021-08-22,18:30,Udinese,2.2,2–2,0.8,Juventus,9660.0,Dacia Arena,Ivan Pezzuto,Match Report,
6,1.0,Sun,2021-08-22,20:45,Napoli,2.3,2–0,0.5,Venezia,20000.0,Stadio San Paolo,Gianluca Aureliano,Match Report,
7,1.0,Sun,2021-08-22,20:45,Roma,2.7,3–1,1.2,Fiorentina,26997.0,Stadio Olimpico,Luca Pairetto,Match Report,
8,1.0,Mon,2021-08-23,18:30,Cagliari,2.7,2–2,0.8,Spezia,5387.0,Sardegna Arena,Francesco Fourneau,Match Report,
9,1.0,Mon,2021-08-23,20:45,Sampdoria,1.0,0–1,1.1,Milan,5000.0,Stadio Comunale Luigi Ferraris,Marco Guida,Match Report,
10,,,,,,,,,,,,,,
11,2.0,Fri,2021-08-27,18:30,Udinese,2.7,3–0,1.0,Venezia,8274.0,Dacia Arena,Livio Marinelli,Match Report,
12,2.0,Fri,2021-08-27,20:45,Hellas Verona,0.8,1–3,1.6,Inter,11214.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
13,2.0,Sat,2021-08-28,18:30,Atalanta,1.0,0–0,0.3,Bologna,7912.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato,Match Report,
14,2.0,Sat,2021-08-28,18:30,Lazio,3.2,6–1,0.7,Spezia,20000.0,Stadio Olimpico,Federico Dionisi,Match Report,
15,2.0,Sat,2021-08-28,20:45,Fiorentina,0.6,2–1,0.5,Torino,12592.0,Stadio Artemio Franchi,Maurizio Mariani,Match Report,
16,2.0,Sat,2021-08-28,20:45,Juventus,1.5,0–1,0.8,Empoli,17584.0,Allianz Stadium,Davide Ghersini,Match Report,
17,2.0,Sun,2021-08-29,18:30,Sassuolo,1.4,0–0,0.5,Sampdoria,3309.0,Stadio Città del Tricolore,Juan Sacchi,Match Report,
