,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Spread,home_odds,away_odds,Opening Spread,inter_spread_1,inter_spread_2,inter_spread_3
0,1,Sat,2022-08-13,18:30:00,Sampdoria,,,,Atalanta,,Stadio Comunale Luigi Ferraris,,Head-to-Head,0.75,1.92,1.98,0.5,0.75,,
1,1,Sat,2022-08-13,18:30:00,Milan,,,,Udinese,,Stadio Giuseppe Meazza,,Head-to-Head,-1.25,2.01,1.95,-1.25,-1.25,,
2,1,Sat,2022-08-13,20:45:00,Monza,,,,Torino,,Stadio Comunale Brianteo,,Head-to-Head,0.0,1.84,2.06,0.0,0.0,,
3,1,Sat,2022-08-13,20:45:00,Lecce,,,,Inter,,Stadio Comunale Via Del Mare,,Head-to-Head,1.5,2.01,1.89,1.25,1.5,,
4,1,Sun,2022-08-14,18:30:00,Fiorentina,,,,Cremonese,,Stadio Artemio Franchi,,Head-to-Head,-1.25,1.85,2.05,-1.25,-1.25,,
5,1,Sun,2022-08-14,18:30:00,Lazio,,,,Bologna,,Stadio Olimpico,,Head-to-Head,-1.0,2.0,1.9,-1.0,-1.0,,
6,1,Sun,2022-08-14,20:45:00,Spezia,,,,Empoli,,Stadio Alberto Picco,,Head-to-Head,0.0,1.8,2.1,-0.25,0.0,,
7,1,Sun,2022-08-14,20:45:00,Salernitana,,,,Roma,,Stadio Arechi,,Head-to-Head,1.0,2.17,1.75,0.75,1.25,,
8,1,Mon,2022-08-15,18:30:00,Hellas Verona,,,,Napoli,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,0.25,2.08,1.82,0.25,0.25,,
9,1,Mon,2022-08-15,20:45:00,Juventus,,,,Sassuolo,,Allianz Stadium,,Head-to-Head,-1.25,1.99,1.91,-1.25,-1.25,,
10,2,Sat,2022-08-20,18:30:00,Torino,,,,Lazio,,Stadio Olimpico di Torino,,Head-to-Head,0.25,1.82,2.08,0.25,0.25,0.25,
11,2,Sat,2022-08-20,18:30:00,Udinese,,,,Salernitana,,Dacia Arena,,Head-to-Head,-0.75,2.0,1.9,-0.75,-0.75,-0.75,
12,2,Sat,2022-08-20,20:45:00,Inter,,,,Spezia,,Stadio Giuseppe Meazza,,Head-to-Head,-2.25,2.0,1.9,-2.0,-2.0,-2.25,
13,2,Sat,2022-08-20,20:45:00,Sassuolo,,,,Lecce,,Stadio CittÃ  del Tricolore,,Head-to-Head,-0.5,2.01,1.89,-0.75,-0.75,-0.75,
14,2,Sun,2022-08-21,18:30:00,Empoli,,,,Fiorentina,,Stadio Carlo Castellani,,Head-to-Head,0.5,1.93,1.97,0.75,0.5,0.5,
15,2,Sun,2022-08-21,18:30:00,Napoli,,,,Monza,,Stadio San Paolo,,Head-to-Head,-1.5,1.97,1.93,-1.25,-1.5,-1.5,
16,2,Sun,2022-08-21,20:45:00,Bologna,,,,Hellas Verona,,Stadio Renato Dall'Ara,,Head-to-Head,-0.25,1.9,2.0,-0.25,-0.25,-0.25,
17,2,Sun,2022-08-21,20:45:00,Atalanta,,,,Milan,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,0.25,1.8,2.1,0.0,0.0,0.0,
18,2,Mon,2022-08-22,18:30:00,Roma,,,,Cremonese,,Stadio Olimpico,,Head-to-Head,-1.75,,,-1.5,-1.5,-1.75,
19,2,Mon,2022-08-22,20:45:00,Sampdoria,,,,Juventus,,Stadio Comunale Luigi Ferraris,,Head-to-Head,1.0,1.86,2.04,0.75,0.75,0.75,
20,3,Fri,2022-08-26,18:30:00,Monza,,,,Udinese,,Stadio Comunale Brianteo,,Head-to-Head,0.25,1.87,2.03,0.0,0.25,0.25,
21,3,Fri,2022-08-26,20:45:00,Lazio,,,,Inter,,Stadio Olimpico,,Head-to-Head,0.5,2.01,1.89,0.25,0.5,0.5,
22,3,Sat,2022-08-27,18:30:00,Juventus,,,,Roma,,Allianz Stadium,,Head-to-Head,-0.25,2.02,1.88,-0.25,-0.25,-0.25,
23,3,Sat,2022-08-27,18:30:00,Cremonese,,,,Torino,,Stadio Giovanni Zin,,Head-to-Head,0.25,1.89,2.01,0.5,0.25,0.25,
24,3,Sat,2022-08-27,20:45:00,Milan,,,,Bologna,,Stadio Giuseppe Meazza,,Head-to-Head,-1.5,1.96,1.94,-1.5,-1.5,-1.5,
25,3,Sat,2022-08-27,20:45:00,Spezia,,,,Sassuolo,,Stadio Alberto Picco,,Head-to-Head,0.25,1.9,2.0,0.25,0.25,0.25,
26,3,Sun,2022-08-28,18:30:00,Salernitana,,,,Sampdoria,,Stadio Arechi,,Head-to-Head,-0.25,2.1,1.8,0.0,-0.25,-0.25,
27,3,Sun,2022-08-28,18:30:00,Hellas Verona,,,,Atalanta,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,0.5,2.01,1.89,0.5,0.75,0.75,
28,3,Sun,2022-08-28,20:45:00,Lecce,,,,Empoli,,Stadio Comunale Via Del Mare,,Head-to-Head,-0.25,2.03,1.87,-0.25,-0.25,-0.25,
29,3,Sun,2022-08-28,20:45:00,Fiorentina,,,,Napoli,,Stadio Artemio Franchi,,Head-to-Head,0.25,2.04,1.86,0.0,0.25,0.25,
30,4,Tue,2022-08-30,18:30:00,Sassuolo,,,,Milan,,Stadio CittÃ  del Tricolore,,Head-to-Head,1.0,,,1.0,1.0,1.0,1.0
31,4,Tue,2022-08-30,20:45:00,Inter,,,,Cremonese,,Stadio Giuseppe Meazza,,Head-to-Head,-2.25,,,-2.25,-2.25,-2.25,-2.25
32,4,Tue,2022-08-30,20:45:00,Roma,,,,Monza,,Stadio Olimpico,,Head-to-Head,-1.75,,,-1.5,-1.75,-1.75,-1.75
33,4,Wed,2022-08-31,18:30:00,Sampdoria,,,,Lazio,,Stadio Comunale Luigi Ferraris,,Head-to-Head,0.5,,,0.5,0.5,0.5,0.5
34,4,Wed,2022-08-31,18:30:00,Udinese,,,,Fiorentina,,Dacia Arena,,Head-to-Head,0.0,,,0.25,0.0,0.0,0.0
35,4,Wed,2022-08-31,18:30:00,Empoli,,,,Hellas Verona,,Stadio Carlo Castellani,,Head-to-Head,0.0,,,0.0,0.0,0.0,0.0
36,4,Wed,2022-08-31,20:45:00,Juventus,,,,Spezia,,Allianz Stadium,,Head-to-Head,-1.5,,,-1.5,-1.75,-1.5,-1.5
37,4,Wed,2022-08-31,20:45:00,Napoli,,,,Lecce,,Stadio San Paolo,,Head-to-Head,-1.75,,,-1.5,-1.75,-1.75,-1.75
38,4,Thu,2022-09-01,20:45:00,Atalanta,,,,Torino,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,-0.75,,,-1.0,-0.75,-0.75,-0.75
39,4,Thu,2022-09-01,20:45:00,Bologna,,,,Salernitana,,Stadio Renato Dall'Ara,,Head-to-Head,-0.5,,,-0.5,-0.5,-0.5,-0.5
40,5,Sat,2022-09-03,15:00:00,Fiorentina,,,,Juventus,,Stadio Artemio Franchi,,Head-to-Head,0.25,,,0.0,0.25,,
41,5,Sat,2022-09-03,18:00:00,Milan,,,,Inter,,Stadio Giuseppe Meazza,,Head-to-Head,0.0,,,0.25,0.0,,
42,5,Sat,2022-09-03,20:45:00,Lazio,,,,Napoli,,Stadio Olimpico,,Head-to-Head,0.25,,,0.25,0.25,,
43,5,Sun,2022-09-04,12:30:00,Cremonese,,,,Sassuolo,,Stadio Giovanni Zin,,Head-to-Head,0.25,,,0.25,0.25,,
44,5,Sun,2022-09-04,15:00:00,Spezia,,,,Bologna,,Stadio Alberto Picco,,Head-to-Head,0.25,,,0.0,0.0,,
45,5,Sun,2022-09-04,18:00:00,Hellas Verona,,,,Sampdoria,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,-0.5,,,-0.5,-0.5,,
46,5,Sun,2022-09-04,20:45:00,Udinese,,,,Roma,,Dacia Arena,,Head-to-Head,0.5,,,0.75,0.5,,
47,5,Mon,2022-09-05,18:30:00,Salernitana,,,,Empoli,,Stadio Arechi,,Head-to-Head,-0.25,,,-0.25,-0.25,,
48,5,Mon,2022-09-05,18:30:00,Monza,,,,Atalanta,,Stadio Comunale Brianteo,,Head-to-Head,1.0,,,1.0,1.0,,
49,5,Mon,2022-09-05,20:45:00,Torino,,,,Lecce,,Stadio Olimpico di Torino,,Head-to-Head,-0.75,,,-0.75,-0.75,,
50,6,Sun,2022-09-11,,Bologna,,,,Fiorentina,,Stadio Renato Dall'Ara,,Head-to-Head,0.25,,,0.0,,,
51,6,Sun,2022-09-11,,Lecce,,,,Monza,,Stadio Comunale Via Del Mare,,Head-to-Head,-0.25,,,-0.25,,,
52,6,Sun,2022-09-11,,Atalanta,,,,Cremonese,,Stadio Atleti Azzurri d'Italia,,Head-to-Head,-1.5,,,-1.25,,,
53,6,Sun,2022-09-10,,Sampdoria,,,,Milan,,Stadio Comunale Luigi Ferraris,,Head-to-Head,1.0,,,1.0,,,
54,6,Sun,2022-09-12,,Empoli,,,,Roma,,Stadio Carlo Castellani,,Head-to-Head,0.75,,,0.75,,,
55,6,Sun,2022-09-11,,Lazio,,,,Hellas Verona,,Stadio Olimpico,,Head-to-Head,-1.0,,,-0.75,,,
56,6,Sun,2022-09-11,,Sassuolo,,,,Udinese,,Stadio CittÃ  del Tricolore,,Head-to-Head,0.0,,,-0.25,,,
57,6,Sun,2022-09-10,,Napoli,,,,Spezia,,Stadio San Paolo,,Head-to-Head,-1.75,,,-1.75,,,
58,6,Sun,2022-09-10,,Inter,,,,Torino,,Stadio Giuseppe Meazza,,Head-to-Head,-1.25,,,-1.25,,,
59,6,Sun,2022-09-11,,Juventus,,,,Salernitana,,Allianz Stadium,,Head-to-Head,-1.25,,,-1.25,,,
60,7,Sun,2022-09-18,,Cremonese,,,,Lazio,,Stadio Giovanni Zin,,Head-to-Head,0.75,,,0.75,0.75,0.75,0.75
61,7,Sun,2022-09-17,,Spezia,,,,Sampdoria,,Stadio Alberto Picco,,Head-to-Head,0.0,,,0.0,0.0,0.0,0.0
